Rank,Snack_Top200_Ing,Energy,Water,Protein,Total lipid (fat),"Carbohydrate, by difference","Sugars, total","Fiber, total dietary","Calcium, Ca","Iron, Fe","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin A, RAE","Vitamin A, IU",Vitamin D,Vitamin E (alpha-tocopherol),"Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Cholesterol,"Fatty acids, total trans","Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated"
81,EXPELLER PRESSED CANOLA OIL AND SAFFLOWER OIL AND SUNFLOWER OIL,885.2307692307693,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,29.41076923076923,0.0,0.0,0.0,0.0,0.0,4.105,8.628076923076923,57.23215384615385,29.957769230769237
83,"PARSLEY, DRIED",281.5,3.945,28.965,5.34,46.510000000000005,7.27,29.700000000000003,658.0,37.97,4491.5,421.5,5.775,97.0,32589.5,0.0,8.96,137.0,0.618,2.3215,10.1715,0.0,0.0,1.378,0.761,3.124
85,CORN MASA FLOUR,363.0,9.79,8.46,3.69,76.59,1.61,6.400000000000001,138.0,6.156666666666666,262.0,5.0,1.8,3.6666666666666665,74.66666666666667,0.0,0.12,0.0,1.0576666666666668,0.5690000000000001,7.166,0.0,0.0,0.532,0.997,1.724
86,DISODIUM INOSINATE,0.0,24.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,SESAME SEED,580.6,4.348000000000001,17.812,50.976,22.6,0.435,14.24,457.2,10.246,425.0,139.2,8.419999999999998,1.8,43.2,0.0,0.6074999999999999,0.0,0.9406,0.304,5.1544,0.0,0.0,7.235600000000001,19.4128,22.0762
88,LINSEED,477.0,2.2,19.0,31.0,13.0,0.0,34.8,255.0,5.7,725.0,28.0,7.8,0.0,0.0,0.0,0.7,0.0,1.64,0.16,3.1,0.0,0.0,2.9,0.0,20.6
89,"BUTTERMILK, DRIED",387.0,2.97,34.3,5.78,49.0,49.0,0.0,1184.0,0.3,1592.0,517.0,4.02,49.0,175.0,20.0,0.1,5.7,0.392,1.579,0.876,69.0,0.0,3.598,1.669,0.215
90,"BEETROOT, DRIED",38.0,89.0,1.7,0.1,6.0,6.0,2.9,10.0,0.4,400.0,70.0,0.0,1.0,0.0,0.0,0.1,2.0,0.05,0.05,0.1,0.0,0.0,0.0,0.0,0.0
91,CHIA SEED,486.0,5.8,16.54,30.74,42.12,0.0,34.4,631.0,7.72,407.0,16.0,4.58,0.0,54.0,0.0,0.5,1.6,0.62,0.17,8.83,0.0,0.14,3.33,2.309,23.665
92,BLACK PEPPER,251.0,12.46,10.39,3.26,63.95,0.64,25.3,443.0,9.71,1329.0,20.0,1.19,27.0,547.0,0.0,1.04,0.0,0.108,0.18,1.143,0.0,0.0,1.392,0.739,0.998
93,"OIL, OLIVE",884.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.56,1.0,2.0,0.0,0.0,0.0,0.0,14.35,0.0,0.0,0.0,0.0,0.0,0.0,13.808,72.961,10.523
95,DEGERMINATED CORN FLOUR,375.0,9.81,5.59,1.39,82.75,0.64,1.9,2.0,0.91,90.0,1.0,0.37,11.0,214.0,0.0,0.15,0.0,0.074,0.058,2.656,0.0,0.0,0.171,0.274,0.695
96,DEGERMINATED CORN MEAL,365.0,10.843333333333334,7.543333333333333,1.74,77.89666666666666,1.61,4.966666666666666,118.66666666666669,3.396666666666667,151.33333333333334,454.0,0.7733333333333334,5.5,108.0,0.0,0.12,0.0,0.4563333333333334,0.273,3.511333333333333,0.0,0.0,0.2246666666666666,0.403,0.7983333333333333
97,"WHEY, DRIED",346.0,3.35,12.33,0.805,73.955,73.955,0.0,1425.0,1.06,2184.5,1023.5,4.14,12.5,44.5,0.0,0.01,1.2,0.5705,2.1340000000000003,1.209,4.5,0.0,0.513,0.2229999999999999,0.0275
99,SUNFLOWER SEED,558.8,2.208,22.07,46.84700000000001,22.155,2.822857142857143,9.61,76.0,4.925,606.0,1403.8,5.212999999999999,0.5,15.3,0.0,30.318571428571428,1.33,0.6381,0.2734999999999999,6.047200000000001,0.0,0.158,5.1511000000000005,9.4608,29.914500000000004
100,HONEY,304.0,17.1,0.3,0.0,82.4,82.12,0.2,6.0,0.42,52.0,4.0,0.22,0.0,0.0,0.0,0.0,0.5,0.0,0.038,0.121,0.0,0.0,0.0,0.0,0.0
101,ROCK SALT,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0,0.1,7.0,39000.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,MOLASSES,290.0,21.87,0.0,0.1,74.73,74.72,0.0,205.0,4.72,1464.0,37.0,0.29,0.0,0.0,0.0,0.0,0.0,0.041,0.002,0.93,0.0,0.0,0.018,0.032,0.05
108,SWEET PEPPER,35.388888888888886,91.13666666666668,1.1216666666666666,1.5972222222222223,5.148888888888889,3.2875,1.4277777777777778,20.05555555555556,0.5683333333333334,157.88888888888889,211.16666666666663,0.1377777777777777,91.58823529411764,1745.888888888889,0.0,1.3058333333333334,95.41111111111113,0.0541666666666666,0.0447222222222222,0.8311666666666669,0.0,0.0,0.2072222222222222,0.2855882352941177,0.7915882352941177
109,"WHEAT FLOUR, WHOLE-GRAIN",233.33333333333331,38.12,8.24,1.6166666666666665,50.69333333333333,0.8933333333333332,8.6,46.333333333333336,2.736666666666667,328.3333333333333,9.333333333333334,1.9333333333333331,227.0,4546.333333333333,0.0,0.6966666666666667,13.666666666666666,0.284,0.141,3.6013333333333333,0.0,0.0,0.304,0.1986666666666666,0.8423333333333334
110,"OIL, COCONUT",713.6,18.26,0.532,79.804,0.98,0.0,0.4,28.0,0.2639999999999999,67.4,5.4,0.0559999999999999,62.6,1250.6,0.0,0.095,7.859999999999999,0.0112,0.0224,0.1396,0.0,0.059,69.715,3.6498,1.0056
111,"SWEET PEPPER, DRIED",219.33333333333331,31.5,12.88,2.1633333333333336,47.54333333333333,26.863333333333333,14.866666666666667,135.33333333333334,7.246666666666667,2220.333333333333,133.66666666666666,1.6666666666666667,1626.6666666666667,32535.0,0.0,2.973333333333333,1275.0666666666666,0.8143333333333332,0.8380000000000001,5.157333333333334,0.0,0.0,0.319,0.1466666666666667,1.1496666666666666
112,ACACIA GUM,42.0,87.0,2.8,0.6,8.32,0.0,1.7,205.0,3.0,450.0,70.0,0.37,155.0,3100.0,0.0,0.0,130.0,0.07,0.06,1.3,0.0,0.0,0.078,0.045,0.289
113,CREAM,75.5,86.22,2.515,5.4,5.18,4.13,0.6,119.5,0.99,203.0,53.0,0.315,98.5,1174.0,1.0,0.25,26.85,0.035,0.1165,0.4505,17.5,0.232,3.5425,1.6749999999999998,0.375
114,ASCORBIC ACID,109.5,82.855,2.43,9.75,4.225,2.46,1.0,81.5,0.475,182.0,165.5,0.28,431.0,7138.5,22.0,0.485,20.9,0.038,0.13,0.295,29.5,0.3125,5.114,2.2775000000000003,0.491
115,SAFFLOWER AND SUNFLOWER AND CANOLA OIL,788.6666666666666,10.266666666666667,0.3339999999999999,88.76,0.546,0.2866666666666667,0.1333333333333333,14.785714285714286,0.0735714285714285,29.857142857142858,19.0,0.0307142857142857,72.42857142857143,1047.8,2.875,25.60933333333333,1.72,0.0044666666666666,0.0159333333333333,0.0476,7.4,3.6488888888888886,8.770999999999997,50.20980000000001,26.038000000000007
116,DISODIUM INOSINATE AND DISODIUM GUANYLATE,184.0,74.505,2.37,18.245,4.18,2.92,0.0,99.0,1.015,184.5,154.0,0.24,255.5,1732.0,31.5,0.92,26.7,0.03,0.1135,0.428,56.5,0.618,11.5425,4.5655,0.883
117,ENZYMES,257.0,61.33,3.2,22.22,12.49,8.0,0.0,101.0,0.05,147.0,8.0,0.37,188.0,685.0,16.0,0.64,0.0,0.037,0.065,0.07,76.0,0.0,13.831,6.418,0.825
